Season,GameId,Date,Team,Conference,OppTeam,OppConference,Score,OppScore,WasCFPTeam,PassSnaps,RunSnaps,OffensiveEPAPerPlay_All,OffensiveSuccessRate_All,OffensiveBoomRate_All,OffensiveBustRate_All,OffensiveEPAPerPlay_Pass,OffensiveSuccessRate_Pass,OffensiveBoomRate_Pass,OffensiveBustRate_Pass,OffensiveEPAPerPlay_Run,OffensiveSuccessRate_Run,OffensiveBoomRate_Run,OffensiveBustRate_Run,Plays_PasserPoints,Sum_PasserPoints,Sum_PasserPAA,Plays_RusherPoints,Sum_RusherPoints,Sum_RusherPAA,Plays_ReceiverPoints,Sum_ReceiverPoints,Sum_ReceiverPAA,Plays_PassBlockPoints,Sum_PassBlockPoints,Sum_PassBlockPAA,Plays_RunBlockPoints,Sum_RunBlockPoints,Sum_RunBlockPAA,Plays_PassCovPoints,Sum_PassCovPoints,Sum_PassCovPAA,Plays_PassRushPoints,Sum_PassRushPoints,Sum_PassRushPAA,Plays_RunDefPoints,Sum_RunDefPoints,Sum_RunDefPAA,Max_WP,Min_WP,Median_WP,WP_FavoredPct,ADoT,AttemptedAirYards
2018,2871,00:00.0,Abilene Christian,Southland,Baylor,BIG12,27,55,0,43,24,-0.004313,0.447761,0.134328,0.104477,-0.202048,0.44186,0.139534,0.16279,0.34996,0.458333,0.125,0,24,-4.832628,-8.128027,23,7.699014,6.934932,38,1.24785,-2.909289,43,5.50215,-1.961218,24,2.835051,-2.736922,28,2.537399,-5.083612,28,1.691352,-2.819792,35,11.675622,-3.945712,0.565,0,0.055,0.022988,6.210526,236
2018,2831,00:00.0,Air Force,MW,Stony Brook,CAA,38,0,0,8,77,-0.067519,0.4,0.129411,0.105882,-0.482793,0.25,0.125,0.125,-0.024374,0.415584,0.12987,0.103896,8,-0.960345,-1.86711,74,-14.04133,-15.942258,8,-2.513534,-3.391681,8,1.826388,1.028358,76,11.644184,-0.047772,22,17.555653,11.379303,21,1.617151,-4.214542,27,7.311287,-9.945313,1,0.472,0.979,0.987951,14.875,119
2018,2897,00:00.0,Air Force,MW,Florida Atlantic,C-USA,27,33,0,16,53,-0.050138,0.362318,0.144927,0.130434,0.274345,0.4375,0.3125,0.1875,-0.148095,0.339622,0.094339,0.113207,15,0.935158,-1.149354,53,-8.892939,-10.724355,16,4.506275,2.917392,16,4.352304,1.589436,53,17.306157,3.242726,32,-0.810788,-8.283076,32,-1.663405,-6.354957,36,28.059063,13.923643,0.473,0,0.235,0,12.916666,155
2018,3078,00:00.0,Air Force,MW,Utah State,MW,32,42,0,23,85,0.000757,0.462962,0.157407,0.083333,0.112443,0.47826,0.260869,0.086956,-0.029463,0.458823,0.129411,0.082352,23,7.499859,5.35833,83,-5.73311,-7.204163,23,3.42605,2.077089,23,4.630617,1.814815,83,20.81446,5.774995,40,1.50966,-9.557862,40,0.493205,-6.325032,20,3.935479,-5.368693,0.719,0,0.289,0.191387,12.368421,235
2018,3140,00:00.0,Air Force,MW,Nevada,MW,25,28,0,22,48,-0.226843,0.314285,0.114285,0.2,-0.444917,0.227272,0.136363,0.272727,-0.126892,0.354166,0.104166,0.166666,21,-6.375832,-9.173547,48,-6.156023,-7.691673,20,3.338858,1.394706,21,4.183281,0.662454,48,10.857481,-1.423494,35,7.718371,-1.726849,34,4.759532,-0.128212,32,12.386761,-1.188617,0.518,0.03,0.212,0.011235,13.888888,250
2018,3198,00:00.0,Air Force,MW,Navy,AAC,35,7,0,10,55,0.098487,0.4,0.2,0.107692,0.753759,0.6,0.5,0.1,-0.020652,0.363636,0.145454,0.10909,10,7.335067,5.889093,53,-2.423792,-4.249595,9,4.792919,3.854539,10,1.120796,-0.74449,54,14.278461,-0.239923,13,6.095926,2.295722,13,3.787656,0.941163,40,30.34645,9.716288,1,0.248,0.801,0.69178,11.7,117
2018,3212,00:00.0,Air Force,MW,San Diego State,MW,17,21,0,17,51,-0.127812,0.308823,0.088235,0.088235,-0.203782,0.235294,0.17647,0.235294,-0.102489,0.333333,0.058823,0.039215,17,1.446694,-0.855734,50,-0.809188,-2.440749,17,-0.483451,-2.285984,17,4.960166,1.964198,50,13.618049,-1.284278,29,9.1272,1.806417,29,5.5316,-0.533138,29,18.258689,4.820494,0.722,0,0.313,0.104938,11.294117,192
2018,3264,00:00.0,Air Force,MW,UNLV,MW,41,35,0,11,52,0.352794,0.63492,0.285714,0.095238,1.261565,0.727272,0.545454,0,0.160553,0.615384,0.230769,0.115384,11,8.530386,6.957427,52,-3.893321,-5.755186,11,5.089917,3.858844,11,1.469696,-0.460661,52,26.967143,12.672963,43,7.251969,-3.063764,43,5.867796,-0.366154,28,5.686325,-5.724165,0.984,0.115,0.617,0.647058,13.363636,147
2018,3367,00:00.0,Air Force,MW,Boise State,MW,38,48,0,20,47,0.208238,0.507462,0.194029,0.134328,0.85734,0.55,0.5,0.15,-0.067975,0.489361,0.063829,0.127659,18,9.590445,7.094105,46,-3.301495,-5.00635,18,6.601897,4.857878,20,6.978075,3.047757,46,21.626097,10.374718,37,-4.839262,-13.847749,37,3.005786,-2.448742,30,12.853697,1.122174,0.787,0.016,0.372,0.16279,16.625,266
2018,3422,00:00.0,Air Force,MW,Army,Independents,14,17,0,23,34,0.056608,0.473684,0.22807,0.157894,0.128533,0.521739,0.304347,0.173913,0.007952,0.441176,0.17647,0.147058,22,4.735566,1.108065,35,0.987435,-0.576448,21,4.241387,1.372533,23,7.032703,2.537428,34,11.611207,1.296965,5,-0.626924,-1.721205,5,0.676403,-0.23961,58,41.296883,17.349267,0.489,0.054,0.142,0,12.772727,281
2018,3485,00:00.0,Air Force,MW,New Mexico,MW,42,24,0,6,67,0.12123,0.534246,0.150684,0.150684,1.497816,0.666666,0.666666,0.166666,-0.002045,0.522388,0.104477,0.149253,6,4.829706,4.075239,67,6.641501,4.889355,5,4.205426,3.616625,6,1.959633,1.145398,67,12.188986,-4.621247,26,2.545942,-5.451715,26,10.619115,5.444301,28,13.744156,-1.280194,0.998,0.463,0.762,0.99363,15,90
2018,3506,00:00.0,Air Force,MW,Wyoming,MW,27,35,0,9,65,0.179253,0.554054,0.162162,0.054054,-0.346923,0.555555,0.222222,0.222222,0.252108,0.553846,0.153846,0.030769,9,-4.036428,-5.202497,63,10.535214,8.86932,7,1.18073,0.384006,9,1.583905,0.214388,64,19.254188,4.248838,32,-5.641163,-14.689702,32,-1.078208,-7.358027,25,8.659328,-4.068662,0.977,0,0.616,0.660493,9,81
2018,3560,00:00.0,Air Force,MW,Colorado State,MW,27,19,0,16,67,0.121741,0.578313,0.13253,0.096385,0.22792,0.5,0.1875,0.125,0.096385,0.597014,0.119402,0.089552,16,2.135573,0.307208,64,0.756526,-0.805175,15,2.09685,0.639822,16,-1.018465,-2.939319,65,16.181559,2.374195,38,-0.066581,-10.815452,38,8.001542,-0.171738,18,8.404761,-0.8629,1,0.413,0.761,0.940119,15.8125,253
2018,2908,00:00.0,Akron,MAC,Morgan State,MEAC,41,7,0,35,35,0.001425,0.442857,0.157142,0.1,0.019427,0.4,0.171428,0.142857,-0.016576,0.485714,0.142857,0.057142,32,2.512162,-1.590878,34,-6.921101,-8.342658,29,-2.21735,-5.111896,35,7.791319,2.637807,35,8.610876,2.493395,23,10.289398,4.625226,23,1.568015,-2.444842,41,1.512795,-18.528913,1,0.453,0.985,0.981927,10.16129,315
2018,3013,00:00.0,Akron,MAC,Northwestern,BIG10,39,34,0,33,31,-0.075914,0.34375,0.15625,0.15625,0.175083,0.424242,0.212121,0.181818,-0.343104,0.258064,0.096774,0.129032,28,16.806835,12.361887,33,8.118322,6.518883,31,5.12139,1.901654,33,7.812743,0.96559,30,3.119077,-4.949273,63,25.488754,13.99056,63,11.002872,4.399281,31,10.812645,1.479587,0.979,0.056,0.248,0.20297,14,392
2018,3055,00:00.0,Akron,MAC,Iowa State,BIG12,13,26,0,36,23,-0.207926,0.372881,0.118644,0.169491,-0.219421,0.361111,0.194444,0.222222,-0.189934,0.391304,0,0.086956,32,-1.922687,-7.154364,27,-3.021945,-4.522151,34,2.75595,-1.650193,36,10.371986,3.106705,23,8.699759,2.497701,35,17.138453,8.290818,35,7.479339,2.511505,34,18.580587,4.943693,0.713,0.006,0.342,0.177914,12.518518,338
